id,rank,model,category,input_sequence,actual_response,actual_switch_response,predicted_response,predicted_switch_response,is_correct,is_chosen,choice_index,logprobs,generation_id,seed
51,2,gemini-2.5-flash,animals-baseline,cat,dog,False,dog,,True,True,0,,iterative,
51,3,gemini-2.5-flash,animals-baseline,"cat
dog",mouse,True,rabbit,,False,True,0,,iterative,
51,4,gemini-2.5-flash,animals-baseline,"cat
dog
mouse",rat,False,hamster,,False,True,0,,iterative,
51,5,gemini-2.5-flash,animals-baseline,"cat
dog
mouse
rat",giraffe,True,squirrel,,False,True,0,,iterative,
51,6,gemini-2.5-flash,animals-baseline,"cat
dog
mouse
rat
giraffe",lion,False,elephant,,False,True,0,,iterative,
51,7,gemini-2.5-flash,animals-baseline,"cat
dog
mouse
rat
giraffe
lion",zebra,False,zebra,,True,True,0,,iterative,
51,8,gemini-2.5-flash,animals-baseline,"cat
dog
mouse
rat
giraffe
lion
zebra",rhino,False,elephant,,False,True,0,,iterative,
51,9,gemini-2.5-flash,animals-baseline,"cat
dog
mouse
rat
giraffe
lion
zebra
rhino",ostrich,False,elephant,,False,True,0,,iterative,
51,10,gemini-2.5-flash,animals-baseline,"cat
dog
mouse
rat
giraffe
lion
zebra
rhino
ostrich",meerkat,False,elephant,,False,True,0,,iterative,
51,11,gemini-2.5-flash,animals-baseline,"cat
dog
mouse
rat
giraffe
lion
zebra
rhino
ostrich
meerkat",tiger,False,elephant,,False,True,0,,iterative,
51,12,gemini-2.5-flash,animals-baseline,"cat
dog
mouse
rat
giraffe
lion
zebra
rhino
ostrich
meerkat
tiger",bear,True,elephant,,False,True,0,,iterative,
51,13,gemini-2.5-flash,animals-baseline,"cat
dog
mouse
rat
giraffe
lion
zebra
rhino
ostrich
meerkat
tiger
bear",bat,True,elephant,,False,True,0,,iterative,
51,14,gemini-2.5-flash,animals-baseline,"cat
dog
mouse
rat
giraffe
lion
zebra
rhino
ostrich
meerkat
tiger
bear
bat",aardvark,False,elephant,,False,True,0,,iterative,
51,15,gemini-2.5-flash,animals-baseline,"cat
dog
mouse
rat
giraffe
lion
zebra
rhino
ostrich
meerkat
tiger
bear
bat
aardvark",elephant,False,antelope,,False,True,0,,iterative,
51,16,gemini-2.5-flash,animals-baseline,"cat
dog
mouse
rat
giraffe
lion
zebra
rhino
ostrich
meerkat
tiger
bear
bat
aardvark
elephant",flea,True,fox,,False,True,0,,iterative,
51,17,gemini-2.5-flash,animals-baseline,"cat
dog
mouse
rat
giraffe
lion
zebra
rhino
ostrich
meerkat
tiger
bear
bat
aardvark
elephant
flea",ferret,True,gnat,,False,True,0,,iterative,
51,18,gemini-2.5-flash,animals-baseline,"cat
dog
mouse
rat
giraffe
lion
zebra
rhino
ostrich
meerkat
tiger
bear
bat
aardvark
elephant
flea
ferret",parrot,True,jaguar,,False,True,0,,iterative,
51,19,gemini-2.5-flash,animals-baseline,"cat
dog
mouse
rat
giraffe
lion
zebra
rhino
ostrich
meerkat
tiger
bear
bat
aardvark
elephant
flea
ferret
parrot",hippopotamus,True,quail,,False,True,0,,iterative,
