response,seq_type,id,model,rank,target_length,sub-seq-n,human_response,data-category,dataset,response_category,SNAFU_switch,human_response_category,SNAFU_human_switch,response_unmodified,embedding_switch_prediction,switch_embedding
bear,rank-1,384,gemini-3-flash-preview,1,35,1,bear,animals-gen,hills,['NorthAmerican'],True,['NorthAmerican'],True,bear,False,median
wolf,rank-1,384,gemini-3-flash-preview,2,35,1,bird,animals-gen,hills,"['Canine', 'NorthAmerican']",False,['Bird'],True,wolf,True,median
fox,rank-1,384,gemini-3-flash-preview,3,35,1,zebra,animals-gen,hills,"['Canine', 'NorthAmerican', 'UsedForFur']",False,['African'],True,fox,True,median
deer,rank-1,384,gemini-3-flash-preview,4,35,1,leopard,animals-gen,hills,"['Deers', 'NorthAmerican']",False,"['African', 'Feline']",False,deer,True,median
moose,rank-1,384,gemini-3-flash-preview,5,35,1,lion,animals-gen,hills,"['Deers', 'NorthAmerican']",False,"['African', 'Feline']",False,moose,False,median
elk,rank-1,384,gemini-3-flash-preview,6,35,1,gorilla,animals-gen,hills,"['Deers', 'NorthAmerican']",False,"['African', 'Primates']",False,elk,False,median
squirrel,rank-1,384,gemini-3-flash-preview,7,35,1,monkey,animals-gen,hills,"['NorthAmerican', 'Rodents']",False,"['African', 'Primates']",False,squirrel,True,median
raccoon,rank-1,384,gemini-3-flash-preview,8,35,1,alligator,animals-gen,hills,['NorthAmerican'],False,"['ReptileAmphibian', 'Water']",True,raccoon,False,median
skunk,rank-1,384,gemini-3-flash-preview,9,35,1,crocodile,animals-gen,hills,"['NorthAmerican', 'Weasels']",False,['ReptileAmphibian'],False,skunk,False,median
rabbit,rank-1,384,gemini-3-flash-preview,10,35,1,polarbear,animals-gen,hills,"['NorthAmerican', 'Pets', 'Rabbit', 'UsedForFur']",False,['Arctic'],True,rabbit,True,median
mountain lion,rank-1,384,gemini-3-flash-preview,11,35,1,grizzlybear,animals-gen,hills,"['Feline', 'NorthAmerican']",False,['NorthAmerican'],True,mountain lion,True,median
bobcat,rank-1,384,gemini-3-flash-preview,12,35,1,parrot,animals-gen,hills,"['Feline', 'NorthAmerican']",False,"['Bird', 'Pets']",True,bobcat,True,median
coyote,rank-1,384,gemini-3-flash-preview,13,35,1,dog,animals-gen,hills,['Canine'],True,"['Canine', 'Pets']",False,coyote,False,median
polar_bear,rank-1,384,gemini-3-flash-preview,14,35,1,cat,animals-gen,hills,['Arctic'],True,['Pets'],False,polar bear,True,median
seal,rank-1,384,gemini-3-flash-preview,15,35,1,mouse,animals-gen,hills,"['Arctic', 'Water']",False,"['Bird', 'Rodents']",True,seal,True,median
walrus,rank-1,384,gemini-3-flash-preview,16,35,1,rat,animals-gen,hills,"['Arctic', 'Water']",False,['Rodents'],False,walrus,True,median
penguin,rank-1,384,gemini-3-flash-preview,17,35,1,ant,animals-gen,hills,"['Arctic', 'Bird', 'Water']",False,['Insects'],True,penguin,True,median
whale,rank-1,384,gemini-3-flash-preview,18,35,1,human,animals-gen,hills,"['Fish', 'Water']",False,['Primates'],True,whale,True,median
