id,rank,model,category,input_sequence,actual_response,actual_switch_response,predicted_response,predicted_switch_response,is_correct,is_chosen,choice_index,logprobs,generation_id,seed
51,2,gemini-2.5-flash-lite,animals,cat,dog,False,dog,,True,True,0,,iterative,
51,3,gemini-2.5-flash-lite,animals,"cat
dog",mouse,True,hamster,,False,True,0,,iterative,
51,4,gemini-2.5-flash-lite,animals,"cat
dog
mouse",rat,False,hamster,,False,True,0,,iterative,
51,5,gemini-2.5-flash-lite,animals,"cat
dog
mouse
rat",giraffe,True,hamster,,False,True,0,,iterative,
51,6,gemini-2.5-flash-lite,animals,"cat
dog
mouse
rat
giraffe",lion,False,lion,,True,True,0,,iterative,
51,7,gemini-2.5-flash-lite,animals,"cat
dog
mouse
rat
giraffe
lion",zebra,False,tiger,,False,True,0,,iterative,
51,8,gemini-2.5-flash-lite,animals,"cat
dog
mouse
rat
giraffe
lion
zebra",rhino,False,elephant,,False,True,0,,iterative,
51,9,gemini-2.5-flash-lite,animals,"cat
dog
mouse
rat
giraffe
lion
zebra
rhino",ostrich,False,elephant,,False,True,0,,iterative,
51,10,gemini-2.5-flash-lite,animals,"cat
dog
mouse
rat
giraffe
lion
zebra
rhino
ostrich",meerkat,False,elephant,,False,True,0,,iterative,
51,11,gemini-2.5-flash-lite,animals,"cat
dog
mouse
rat
giraffe
lion
zebra
rhino
ostrich
meerkat",tiger,False,elephant,,False,True,0,,iterative,
51,12,gemini-2.5-flash-lite,animals,"cat
dog
mouse
rat
giraffe
lion
zebra
rhino
ostrich
meerkat
tiger",bear,True,cheetah,,False,True,0,,iterative,
51,13,gemini-2.5-flash-lite,animals,"cat
dog
mouse
rat
giraffe
lion
zebra
rhino
ostrich
meerkat
tiger
bear",bat,True,elephant,,False,True,0,,iterative,
51,14,gemini-2.5-flash-lite,animals,"cat
dog
mouse
rat
giraffe
lion
zebra
rhino
ostrich
meerkat
tiger
bear
bat",aardvark,False,elephant,,False,True,0,,iterative,
51,15,gemini-2.5-flash-lite,animals,"cat
dog
mouse
rat
giraffe
lion
zebra
rhino
ostrich
meerkat
tiger
bear
bat
aardvark",elephant,False,elephant,,True,True,0,,iterative,
51,16,gemini-2.5-flash-lite,animals,"cat
dog
mouse
rat
giraffe
lion
zebra
rhino
ostrich
meerkat
tiger
bear
bat
aardvark
elephant",flea,True,chimp,,False,True,0,,iterative,
51,17,gemini-2.5-flash-lite,animals,"cat
dog
mouse
rat
giraffe
lion
zebra
rhino
ostrich
meerkat
tiger
bear
bat
aardvark
elephant
flea",ferret,True,ant,,False,True,0,,iterative,
51,18,gemini-2.5-flash-lite,animals,"cat
dog
mouse
rat
giraffe
lion
zebra
rhino
ostrich
meerkat
tiger
bear
bat
aardvark
elephant
flea
ferret",parrot,True,hippopotamus,,False,True,0,,iterative,
51,19,gemini-2.5-flash-lite,animals,"cat
dog
mouse
rat
giraffe
lion
zebra
rhino
ostrich
meerkat
tiger
bear
bat
aardvark
elephant
flea
ferret
parrot",hippopotamus,True,snake,,False,True,0,,iterative,
51,20,gemini-2.5-flash-lite,animals,"cat
dog
mouse
rat
giraffe
lion
zebra
rhino
ostrich
meerkat
tiger
bear
bat
aardvark
elephant
flea
ferret
parrot
hippopotamus",alligator,True,fox,,False,True,0,,iterative,
51,21,gemini-2.5-flash-lite,animals,"cat
dog
mouse
rat
giraffe
lion
zebra
rhino
ostrich
meerkat
tiger
bear
bat
aardvark
elephant
flea
ferret
parrot
hippopotamus
alligator",crocodile,False,snake,,False,True,0,,iterative,
51,22,gemini-2.5-flash-lite,animals,"cat
dog
mouse
rat
giraffe
lion
zebra
rhino
ostrich
meerkat
tiger
bear
bat
aardvark
elephant
flea
ferret
parrot
hippopotamus
alligator
crocodile",frog,False,snake,,False,True,0,,iterative,
51,23,gemini-2.5-flash-lite,animals,"cat
dog
mouse
rat
giraffe
lion
zebra
rhino
ostrich
meerkat
tiger
bear
bat
aardvark
elephant
flea
ferret
parrot
hippopotamus
alligator
crocodile
frog",whale,False,snake,,False,True,0,,iterative,
51,24,gemini-2.5-flash-lite,animals,"cat
dog
mouse
rat
giraffe
lion
zebra
rhino
ostrich
meerkat
tiger
bear
bat
aardvark
elephant
flea
ferret
parrot
hippopotamus
alligator
crocodile
frog
whale",shark,False,shark,,True,True,0,,iterative,
51,25,gemini-2.5-flash-lite,animals,"cat
dog
mouse
rat
giraffe
lion
zebra
rhino
ostrich
meerkat
tiger
bear
bat
aardvark
elephant
flea
ferret
parrot
hippopotamus
alligator
crocodile
frog
whale
shark",clownfish,False,snake,,False,True,0,,iterative,
51,26,gemini-2.5-flash-lite,animals,"cat
dog
mouse
rat
giraffe
lion
zebra
rhino
ostrich
meerkat
tiger
bear
bat
aardvark
elephant
flea
ferret
parrot
hippopotamus
alligator
crocodile
frog
whale
shark
clownfish",guppy,False,octopus,,False,True,0,,iterative,
51,27,gemini-2.5-flash-lite,animals,"cat
dog
mouse
rat
giraffe
lion
zebra
rhino
ostrich
meerkat
tiger
bear
bat
aardvark
elephant
flea
ferret
parrot
hippopotamus
alligator
crocodile
frog
whale
shark
clownfish
guppy",goldfish,False,octopus,,False,True,0,,iterative,
51,28,gemini-2.5-flash-lite,animals,"cat
dog
mouse
rat
giraffe
lion
zebra
rhino
ostrich
meerkat
tiger
bear
bat
aardvark
elephant
flea
ferret
parrot
hippopotamus
alligator
crocodile
frog
whale
shark
clownfish
guppy
goldfish",snake,True,eel,,False,True,0,,iterative,
51,29,gemini-2.5-flash-lite,animals,"cat
dog
mouse
rat
giraffe
lion
zebra
rhino
ostrich
meerkat
tiger
bear
bat
aardvark
elephant
flea
ferret
parrot
hippopotamus
alligator
crocodile
frog
whale
shark
clownfish
guppy
goldfish
snake",snail,True,eagle,,False,True,0,,iterative,
51,30,gemini-2.5-flash-lite,animals,"cat
dog
mouse
rat
giraffe
lion
zebra
rhino
ostrich
meerkat
tiger
bear
bat
aardvark
elephant
flea
ferret
parrot
hippopotamus
alligator
crocodile
frog
whale
shark
clownfish
guppy
goldfish
snake
snail",deer,True,turtle,,False,True,0,,iterative,
51,31,gemini-2.5-flash-lite,animals,"cat
dog
mouse
rat
giraffe
lion
zebra
rhino
ostrich
meerkat
tiger
bear
bat
aardvark
elephant
flea
ferret
parrot
hippopotamus
alligator
crocodile
frog
whale
shark
clownfish
guppy
goldfish
snake
snail
deer",elk,False,ant,,False,True,0,,iterative,
51,32,gemini-2.5-flash-lite,animals,"cat
dog
mouse
rat
giraffe
lion
zebra
rhino
ostrich
meerkat
tiger
bear
bat
aardvark
elephant
flea
ferret
parrot
hippopotamus
alligator
crocodile
frog
whale
shark
clownfish
guppy
goldfish
snake
snail
deer
elk",buffalo,True,wolf,,False,True,0,,iterative,
51,33,gemini-2.5-flash-lite,animals,"cat
dog
mouse
rat
giraffe
lion
zebra
rhino
ostrich
meerkat
tiger
bear
bat
aardvark
elephant
flea
ferret
parrot
hippopotamus
alligator
crocodile
frog
whale
shark
clownfish
guppy
goldfish
snake
snail
deer
elk
buffalo",monkey,False,bear,,False,True,0,,iterative,
51,34,gemini-2.5-flash-lite,animals,"cat
dog
mouse
rat
giraffe
lion
zebra
rhino
ostrich
meerkat
tiger
bear
bat
aardvark
elephant
flea
ferret
parrot
hippopotamus
alligator
crocodile
frog
whale
shark
clownfish
guppy
goldfish
snake
snail
deer
elk
buffalo
monkey",hyena,False,gorilla,,False,True,0,,iterative,
51,35,gemini-2.5-flash-lite,animals,"cat
dog
mouse
rat
giraffe
lion
zebra
rhino
ostrich
meerkat
tiger
bear
bat
aardvark
elephant
flea
ferret
parrot
hippopotamus
alligator
crocodile
frog
whale
shark
clownfish
guppy
goldfish
snake
snail
deer
elk
buffalo
monkey
hyena",kangaroo,True,gorilla,,False,True,0,,iterative,
71,2,gemini-2.5-flash-lite,animals,cheetah,panther,False,lion,,False,True,0,,iterative,
71,3,gemini-2.5-flash-lite,animals,"cheetah
panther",snake,True,jaguar,,False,True,0,,iterative,
71,4,gemini-2.5-flash-lite,animals,"cheetah
panther
snake",shark,True,lizard,,False,True,0,,iterative,
71,5,gemini-2.5-flash-lite,animals,"cheetah
panther
snake
shark",elephant,True,tiger,,False,True,0,,iterative,
