response,seq_type,id,model,rank,target_length,sub-seq-n,human_response,data-category,dataset,response_category,SNAFU_switch,human_response_category,SNAFU_human_switch,response_unmodified,embedding_switch_prediction,switch_embedding
dog,rank-1,792,gemini-3-pro-preview,1,35,1,dog,animals-gen,hills,"['Canine', 'Pets']",True,"['Canine', 'Pets']",True,dog,False,median
cat,rank-1,792,gemini-3-pro-preview,2,35,1,cat,animals-gen,hills,['Pets'],False,['Pets'],False,cat,False,median
bird,rank-1,792,gemini-3-pro-preview,3,35,1,lion,animals-gen,hills,['Bird'],True,"['African', 'Feline']",True,bird,True,median
hamster,rank-1,792,gemini-3-pro-preview,4,35,1,tiger,animals-gen,hills,"['Pets', 'Rodents']",True,"['African', 'Feline']",False,hamster,True,median
rabbit,rank-1,792,gemini-3-pro-preview,5,35,1,bear,animals-gen,hills,"['NorthAmerican', 'Pets', 'Rabbit', 'UsedForFur']",False,['NorthAmerican'],True,rabbit,False,median
mouse,rank-1,792,gemini-3-pro-preview,6,35,1,fish,animals-gen,hills,"['Bird', 'Rodents']",True,"['Fish', 'Water']",True,mouse,True,median
cow,rank-1,792,gemini-3-pro-preview,7,35,1,bird,animals-gen,hills,"['Bovine', 'Farm']",True,['Bird'],True,cow,True,median
pig,rank-1,792,gemini-3-pro-preview,8,35,1,eagle,animals-gen,hills,['Farm'],False,['Bird'],False,pig,False,median
horse,rank-1,792,gemini-3-pro-preview,9,35,1,snake,animals-gen,hills,"['BeastsOfBurden', 'Farm']",False,"['Farm', 'ReptileAmphibian']",True,horse,True,median
sheep,rank-1,792,gemini-3-pro-preview,10,35,1,spider,animals-gen,hills,['Farm'],False,"['Arachnid', 'Farm']",False,sheep,True,median
goat,rank-1,792,gemini-3-pro-preview,11,35,1,gorilla,animals-gen,hills,['Farm'],False,"['African', 'Primates']",True,goat,False,median
chicken,rank-1,792,gemini-3-pro-preview,12,35,1,monkey,animals-gen,hills,"['Bird', 'Farm']",False,"['African', 'Primates']",False,chicken,True,median
duck,rank-1,792,gemini-3-pro-preview,13,35,1,elephant,animals-gen,hills,['Bird'],False,['African'],False,duck,False,median
deer,rank-1,792,gemini-3-pro-preview,14,35,1,rat,animals-gen,hills,"['Deers', 'NorthAmerican']",True,['Rodents'],True,deer,True,median
bear,rank-1,792,gemini-3-pro-preview,15,35,1,mouse,animals-gen,hills,['NorthAmerican'],False,"['Bird', 'Rodents']",False,bear,True,median
wolf,rank-1,792,gemini-3-pro-preview,16,35,1,zebra,animals-gen,hills,"['Canine', 'NorthAmerican']",False,['African'],True,wolf,False,median
fox,rank-1,792,gemini-3-pro-preview,17,35,1,horse,animals-gen,hills,"['Canine', 'NorthAmerican', 'UsedForFur']",False,"['BeastsOfBurden', 'Farm']",True,fox,True,median
lion,rank-1,792,gemini-3-pro-preview,18,35,1,pig,animals-gen,hills,"['African', 'Feline']",True,['Farm'],False,lion,True,median
tiger,rank-1,792,gemini-3-pro-preview,19,35,1,rooster,animals-gen,hills,"['African', 'Feline']",False,['Farm'],False,tiger,False,median
elephant,rank-1,792,gemini-3-pro-preview,20,35,1,chicken,animals-gen,hills,['African'],False,"['Bird', 'Farm']",False,elephant,False,median
giraffe,rank-1,792,gemini-3-pro-preview,21,35,1,cow,animals-gen,hills,['African'],False,"['Bovine', 'Farm']",False,giraffe,False,median
zebra,rank-1,792,gemini-3-pro-preview,22,35,1,donkey,animals-gen,hills,['African'],False,"['BeastsOfBurden', 'Farm']",False,zebra,False,median
monkey,rank-1,792,gemini-3-pro-preview,23,35,1,frog,animals-gen,hills,"['African', 'Primates']",False,"['ReptileAmphibian', 'Water']",True,monkey,True,median
gorilla,rank-1,792,gemini-3-pro-preview,24,35,1,toad,animals-gen,hills,"['African', 'Primates']",False,"['ReptileAmphibian', 'Water']",False,gorilla,False,median
hippo,rank-1,792,gemini-3-pro-preview,25,35,1,tick,animals-gen,hills,,True,['Insects'],True,hippo,True,median
rhino,rank-1,792,gemini-3-pro-preview,26,35,1,flea,animals-gen,hills,['African'],True,['Insects'],False,rhino,False,median
kangaroo,rank-1,792,gemini-3-pro-preview,27,35,1,gnat,animals-gen,hills,['Australian'],True,['Insects'],False,kangaroo,True,median
snake,rank-1,792,gemini-3-pro-preview,28,35,1,llama,animals-gen,hills,"['Farm', 'ReptileAmphibian']",True,"['BeastsOfBurden', 'UsedForFur']",True,snake,True,median
lizard,rank-1,792,gemini-3-pro-preview,29,35,1,gazelle,animals-gen,hills,['ReptileAmphibian'],False,"['African', 'Deers']",True,lizard,False,median
turtle,rank-1,792,gemini-3-pro-preview,30,35,1,raccoon,animals-gen,hills,"['ReptileAmphibian', 'Water']",False,['NorthAmerican'],True,turtle,False,median
frog,rank-1,792,gemini-3-pro-preview,31,35,1,deer,animals-gen,hills,"['ReptileAmphibian', 'Water']",False,"['Deers', 'NorthAmerican']",False,frog,False,median
fish,rank-1,792,gemini-3-pro-preview,32,35,1,buck,animals-gen,hills,"['Fish', 'Water']",False,['Deers'],False,fish,True,median
whale,rank-1,792,gemini-3-pro-preview,33,35,1,bat,animals-gen,hills,"['Fish', 'Water']",False,['Insectivores'],True,whale,False,median
dolphin,rank-1,792,gemini-3-pro-preview,34,35,1,wolf,animals-gen,hills,"['Insects', 'Water']",False,"['Canine', 'NorthAmerican']",True,dolphin,False,median
shark,rank-1,792,gemini-3-pro-preview,35,35,1,cougar,animals-gen,hills,"['Fish', 'Water']",False,"['Feline', 'NorthAmerican']",False,shark,False,median
dog,rank-1,477,gemini-3-pro-preview,1,34,1,dog,animals-gen,hills,"['Canine', 'Pets']",True,"['Canine', 'Pets']",True,dog,False,median
cat,rank-1,477,gemini-3-pro-preview,2,34,1,cat,animals-gen,hills,['Pets'],False,['Pets'],False,cat,False,median
mouse,rank-1,477,gemini-3-pro-preview,3,34,1,rat,animals-gen,hills,"['Bird', 'Rodents']",True,['Rodents'],True,mouse,True,median
