response,seq_type,id,model,rank,target_length,sub-seq-n,human_response,data-category,dataset,response_category,SNAFU_switch,human_response_category,SNAFU_human_switch,response_unmodified,embedding_switch_prediction,switch_embedding
dog,rank-1,575,gemini-2.5-flash-lite,1,21,1,dog,animals-gen,hills,"['Canine', 'Pets']",True,"['Canine', 'Pets']",True,dog,False,median
cat,rank-1,575,gemini-2.5-flash-lite,2,21,1,cat,animals-gen,hills,['Pets'],False,['Pets'],False,cat,False,median
hamster,rank-1,575,gemini-2.5-flash-lite,3,21,1,bird,animals-gen,hills,"['Pets', 'Rodents']",False,['Bird'],True,hamster,False,median
rabbit,rank-1,575,gemini-2.5-flash-lite,4,21,1,tiger,animals-gen,hills,"['NorthAmerican', 'Pets', 'Rabbit', 'UsedForFur']",False,"['African', 'Feline']",True,rabbit,False,median
bird,rank-1,575,gemini-2.5-flash-lite,5,21,1,lion,animals-gen,hills,['Bird'],True,"['African', 'Feline']",False,bird,True,median
fish,rank-1,575,gemini-2.5-flash-lite,6,21,1,monkey,animals-gen,hills,"['Fish', 'Water']",True,"['African', 'Primates']",False,fish,True,median
snake,rank-1,575,gemini-2.5-flash-lite,7,21,1,alligator,animals-gen,hills,"['Farm', 'ReptileAmphibian']",True,"['ReptileAmphibian', 'Water']",True,snake,True,median
lizard,rank-1,575,gemini-2.5-flash-lite,8,21,1,crocodile,animals-gen,hills,['ReptileAmphibian'],False,['ReptileAmphibian'],False,lizard,False,median
turtle,rank-1,575,gemini-2.5-flash-lite,9,21,1,giraffe,animals-gen,hills,"['ReptileAmphibian', 'Water']",False,['African'],True,turtle,False,median
frog,rank-1,575,gemini-2.5-flash-lite,10,21,1,elephant,animals-gen,hills,"['ReptileAmphibian', 'Water']",False,['African'],False,frog,True,median
spider,rank-1,575,gemini-2.5-flash-lite,11,21,1,human,animals-gen,hills,"['Arachnid', 'Farm']",True,['Primates'],True,spider,True,median
ant,rank-1,575,gemini-2.5-flash-lite,12,21,1,rabbit,animals-gen,hills,['Insects'],True,"['NorthAmerican', 'Pets', 'Rabbit', 'UsedForFur']",True,ant,True,median
bee,rank-1,575,gemini-2.5-flash-lite,13,21,1,fish,animals-gen,hills,['Insects'],False,"['Fish', 'Water']",True,bee,False,median
butterfly,rank-1,575,gemini-2.5-flash-lite,14,21,1,hamster,animals-gen,hills,['Insects'],False,"['Pets', 'Rodents']",True,butterfly,True,median
horse,rank-1,575,gemini-2.5-flash-lite,15,21,1,guineapig,animals-gen,hills,"['BeastsOfBurden', 'Farm']",True,"['Pets', 'Rodents']",False,horse,True,median
cow,rank-1,575,gemini-2.5-flash-lite,16,21,1,mouse,animals-gen,hills,"['Bovine', 'Farm']",False,"['Bird', 'Rodents']",False,cow,False,median
sheep,rank-1,575,gemini-2.5-flash-lite,17,21,1,raccoon,animals-gen,hills,['Farm'],False,['NorthAmerican'],True,sheep,False,median
pig,rank-1,575,gemini-2.5-flash-lite,18,21,1,possum,animals-gen,hills,['Farm'],False,['Australian'],True,pig,False,median
chicken,rank-1,575,gemini-2.5-flash-lite,19,21,1,squirrel,animals-gen,hills,"['Bird', 'Farm']",False,"['NorthAmerican', 'Rodents']",True,chicken,True,median
duck,rank-1,575,gemini-2.5-flash-lite,20,21,1,chipmunk,animals-gen,hills,['Bird'],False,"['NorthAmerican', 'Rodents']",False,duck,False,median
dog,rank-1,595,gemini-2.5-flash-lite,1,35,1,dog,animals-gen,hills,"['Canine', 'Pets']",True,"['Canine', 'Pets']",True,dog,False,median
cat,rank-1,595,gemini-2.5-flash-lite,2,35,1,cat,animals-gen,hills,['Pets'],False,['Pets'],False,cat,False,median
hamster,rank-1,595,gemini-2.5-flash-lite,3,35,1,elephant,animals-gen,hills,"['Pets', 'Rodents']",False,['African'],True,hamster,False,median
rabbit,rank-1,595,gemini-2.5-flash-lite,4,35,1,ant,animals-gen,hills,"['NorthAmerican', 'Pets', 'Rabbit', 'UsedForFur']",False,['Insects'],True,rabbit,False,median
bird,rank-1,595,gemini-2.5-flash-lite,5,35,1,gerbil,animals-gen,hills,['Bird'],True,"['Pets', 'Rodents']",True,bird,True,median
fish,rank-1,595,gemini-2.5-flash-lite,6,35,1,rabbit,animals-gen,hills,"['Fish', 'Water']",True,"['NorthAmerican', 'Pets', 'Rabbit', 'UsedForFur']",False,fish,True,median
snake,rank-1,595,gemini-2.5-flash-lite,7,35,1,pig,animals-gen,hills,"['Farm', 'ReptileAmphibian']",True,['Farm'],True,snake,True,median
lizard,rank-1,595,gemini-2.5-flash-lite,8,35,1,cow,animals-gen,hills,['ReptileAmphibian'],False,"['Bovine', 'Farm']",False,lizard,False,median
turtle,rank-1,595,gemini-2.5-flash-lite,9,35,1,chicken,animals-gen,hills,"['ReptileAmphibian', 'Water']",False,"['Bird', 'Farm']",False,turtle,False,median
frog,rank-1,595,gemini-2.5-flash-lite,10,35,1,flamingo,animals-gen,hills,"['ReptileAmphibian', 'Water']",False,['Bird'],False,frog,False,median
horse,rank-1,595,gemini-2.5-flash-lite,11,35,1,penguin,animals-gen,hills,"['BeastsOfBurden', 'Farm']",True,"['Arctic', 'Bird', 'Water']",False,horse,True,median
cow,rank-1,595,gemini-2.5-flash-lite,12,35,1,bird,animals-gen,hills,"['Bovine', 'Farm']",False,['Bird'],False,cow,False,median
pig,rank-1,595,gemini-2.5-flash-lite,13,35,1,squirrel,animals-gen,hills,['Farm'],False,"['NorthAmerican', 'Rodents']",True,pig,False,median
chicken,rank-1,595,gemini-2.5-flash-lite,14,35,1,bear,animals-gen,hills,"['Bird', 'Farm']",False,['NorthAmerican'],False,chicken,True,median
sheep,rank-1,595,gemini-2.5-flash-lite,15,35,1,lion,animals-gen,hills,['Farm'],False,"['African', 'Feline']",True,sheep,True,median
goat,rank-1,595,gemini-2.5-flash-lite,16,35,1,tiger,animals-gen,hills,['Farm'],False,"['African', 'Feline']",False,goat,False,median
duck,rank-1,595,gemini-2.5-flash-lite,17,35,1,ostrich,animals-gen,hills,['Bird'],True,"['African', 'Bird']",False,duck,True,median
goose,rank-1,595,gemini-2.5-flash-lite,18,35,1,chipmunk,animals-gen,hills,['Water'],True,"['NorthAmerican', 'Rodents']",True,goose,False,median
turkey,rank-1,595,gemini-2.5-flash-lite,19,35,1,bat,animals-gen,hills,"['Bird', 'Farm']",True,['Insectivores'],True,turkey,True,median
elephant,rank-1,595,gemini-2.5-flash-lite,20,35,1,snail,animals-gen,hills,['African'],True,['Water'],True,elephant,True,median
lion,rank-1,595,gemini-2.5-flash-lite,21,35,1,mouse,animals-gen,hills,"['African', 'Feline']",False,"['Bird', 'Rodents']",True,lion,False,median
tiger,rank-1,595,gemini-2.5-flash-lite,22,35,1,rat,animals-gen,hills,"['African', 'Feline']",False,['Rodents'],False,tiger,False,median
bear,rank-1,595,gemini-2.5-flash-lite,23,35,1,snake,animals-gen,hills,['NorthAmerican'],True,"['Farm', 'ReptileAmphibian']",True,bear,True,median
cat,rank-1,690,gemini-2.5-flash-lite,1,14,1,cat,animals-gen,hills,['Pets'],True,['Pets'],True,cat,False,median
dog,rank-1,690,gemini-2.5-flash-lite,2,14,1,dog,animals-gen,hills,"['Canine', 'Pets']",False,"['Canine', 'Pets']",False,dog,False,median
hamster,rank-1,690,gemini-2.5-flash-lite,3,14,1,bear,animals-gen,hills,"['Pets', 'Rodents']",False,['NorthAmerican'],True,hamster,False,median
rabbit,rank-1,690,gemini-2.5-flash-lite,4,14,1,rabbit,animals-gen,hills,"['NorthAmerican', 'Pets', 'Rabbit', 'UsedForFur']",False,"['NorthAmerican', 'Pets', 'Rabbit', 'UsedForFur']",False,rabbit,False,median
bird,rank-1,690,gemini-2.5-flash-lite,5,14,1,elephant,animals-gen,hills,['Bird'],True,['African'],True,bird,True,median
fish,rank-1,690,gemini-2.5-flash-lite,6,14,1,beaver,animals-gen,hills,"['Fish', 'Water']",True,"['NorthAmerican', 'Rodents', 'UsedForFur', 'Water']",True,fish,True,median
snake,rank-1,690,gemini-2.5-flash-lite,7,14,1,cow,animals-gen,hills,"['Farm', 'ReptileAmphibian']",True,"['Bovine', 'Farm']",True,snake,True,median
lizard,rank-1,690,gemini-2.5-flash-lite,8,14,1,horse,animals-gen,hills,['ReptileAmphibian'],False,"['BeastsOfBurden', 'Farm']",False,lizard,False,median
turtle,rank-1,690,gemini-2.5-flash-lite,9,14,1,fox,animals-gen,hills,"['ReptileAmphibian', 'Water']",False,"['Canine', 'NorthAmerican', 'UsedForFur']",True,turtle,False,median
frog,rank-1,690,gemini-2.5-flash-lite,10,14,1,wolf,animals-gen,hills,"['ReptileAmphibian', 'Water']",False,"['Canine', 'NorthAmerican']",False,frog,False,median
spider,rank-1,690,gemini-2.5-flash-lite,11,14,1,mouse,animals-gen,hills,"['Arachnid', 'Farm']",True,"['Bird', 'Rodents']",True,spider,True,median
ant,rank-1,690,gemini-2.5-flash-lite,12,14,1,lamb,animals-gen,hills,['Insects'],True,['Farm'],True,ant,True,median
bee,rank-1,690,gemini-2.5-flash-lite,13,14,1,kitten,animals-gen,hills,['Insects'],False,['Pets'],True,bee,False,median
dog,rank-1,598,gemini-2.5-flash-lite,1,35,1,dog,animals-gen,hills,"['Canine', 'Pets']",True,"['Canine', 'Pets']",True,dog,False,median
cat,rank-1,598,gemini-2.5-flash-lite,2,35,1,cat,animals-gen,hills,['Pets'],False,['Pets'],False,cat,False,median
bird,rank-1,598,gemini-2.5-flash-lite,3,35,1,bear,animals-gen,hills,['Bird'],True,['NorthAmerican'],True,bird,True,median
fish,rank-1,598,gemini-2.5-flash-lite,4,35,1,lion,animals-gen,hills,"['Fish', 'Water']",True,"['African', 'Feline']",True,fish,True,median
horse,rank-1,598,gemini-2.5-flash-lite,5,35,1,tiger,animals-gen,hills,"['BeastsOfBurden', 'Farm']",True,"['African', 'Feline']",False,horse,True,median
cow,rank-1,598,gemini-2.5-flash-lite,6,35,1,rabbit,animals-gen,hills,"['Bovine', 'Farm']",False,"['NorthAmerican', 'Pets', 'Rabbit', 'UsedForFur']",True,cow,False,median
