response,seq_type,id,model,rank,target_length,sub-seq-n,human_response,data-category,dataset,response_category,SNAFU_switch,human_response_category,SNAFU_human_switch
dog,rank-1,792,gemini-3-pro-preview,1,35,1,dog,animals-gen,hills,"['Canine', 'Pets']",True,"['Canine', 'Pets']",True
cat,rank-1,792,gemini-3-pro-preview,2,35,1,cat,animals-gen,hills,['Pets'],False,['Pets'],False
bird,rank-1,792,gemini-3-pro-preview,3,35,1,lion,animals-gen,hills,['Bird'],True,"['African', 'Feline']",True
hamster,rank-1,792,gemini-3-pro-preview,4,35,1,tiger,animals-gen,hills,"['Pets', 'Rodents']",True,"['African', 'Feline']",False
rabbit,rank-1,792,gemini-3-pro-preview,5,35,1,bear,animals-gen,hills,"['NorthAmerican', 'Pets', 'Rabbit', 'UsedForFur']",False,['NorthAmerican'],True
mouse,rank-1,792,gemini-3-pro-preview,6,35,1,fish,animals-gen,hills,"['Bird', 'Rodents']",True,"['Fish', 'Water']",True
cow,rank-1,792,gemini-3-pro-preview,7,35,1,bird,animals-gen,hills,"['Bovine', 'Farm']",True,['Bird'],True
pig,rank-1,792,gemini-3-pro-preview,8,35,1,eagle,animals-gen,hills,['Farm'],False,['Bird'],False
horse,rank-1,792,gemini-3-pro-preview,9,35,1,snake,animals-gen,hills,"['BeastsOfBurden', 'Farm']",False,"['Farm', 'ReptileAmphibian']",True
sheep,rank-1,792,gemini-3-pro-preview,10,35,1,spider,animals-gen,hills,['Farm'],False,"['Arachnid', 'Farm']",False
goat,rank-1,792,gemini-3-pro-preview,11,35,1,gorilla,animals-gen,hills,['Farm'],False,"['African', 'Primates']",True
chicken,rank-1,792,gemini-3-pro-preview,12,35,1,monkey,animals-gen,hills,"['Bird', 'Farm']",False,"['African', 'Primates']",False
duck,rank-1,792,gemini-3-pro-preview,13,35,1,elephant,animals-gen,hills,['Bird'],False,['African'],False
deer,rank-1,792,gemini-3-pro-preview,14,35,1,rat,animals-gen,hills,"['Deers', 'NorthAmerican']",True,['Rodents'],True
bear,rank-1,792,gemini-3-pro-preview,15,35,1,mouse,animals-gen,hills,['NorthAmerican'],False,"['Bird', 'Rodents']",False
wolf,rank-1,792,gemini-3-pro-preview,16,35,1,zebra,animals-gen,hills,"['Canine', 'NorthAmerican']",False,['African'],True
fox,rank-1,792,gemini-3-pro-preview,17,35,1,horse,animals-gen,hills,"['Canine', 'NorthAmerican', 'UsedForFur']",False,"['BeastsOfBurden', 'Farm']",True
lion,rank-1,792,gemini-3-pro-preview,18,35,1,pig,animals-gen,hills,"['African', 'Feline']",True,['Farm'],False
tiger,rank-1,792,gemini-3-pro-preview,19,35,1,rooster,animals-gen,hills,"['African', 'Feline']",False,['Farm'],False
elephant,rank-1,792,gemini-3-pro-preview,20,35,1,chicken,animals-gen,hills,['African'],False,"['Bird', 'Farm']",False
giraffe,rank-1,792,gemini-3-pro-preview,21,35,1,cow,animals-gen,hills,['African'],False,"['Bovine', 'Farm']",False
zebra,rank-1,792,gemini-3-pro-preview,22,35,1,donkey,animals-gen,hills,['African'],False,"['BeastsOfBurden', 'Farm']",False
monkey,rank-1,792,gemini-3-pro-preview,23,35,1,frog,animals-gen,hills,"['African', 'Primates']",False,"['ReptileAmphibian', 'Water']",True
